,run,step,small triangle,middle triangle,big triangle,square,parallelogram
0,0,1,set(),set(),set(),"{(23.0, 0.0)}",set()
1,0,2,"{(2.0, 135.0)}",set(),set(),"{(23.0, 0.0)}",set()
2,0,3,"{(2.0, 135.0)}",set(),"{(17.0, 135.0)}","{(23.0, 0.0)}",set()
3,0,4,"{(2.0, 135.0)}",set(),"{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}",set()
4,0,5,"{(2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}",set()
5,0,6,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}",set()
6,0,7,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
7,0,8,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
8,0,9,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
9,0,10,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
10,0,11,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
11,0,12,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
12,0,13,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
13,0,14,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
14,0,15,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
15,0,16,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
16,0,17,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
17,1,1,"{(23.0, 0.0)}",set(),set(),set(),set()
18,1,2,"{(23.0, 0.0)}",set(),"{(13.0, 270.0)}",set(),set()
19,1,3,"{(23.0, 0.0)}",set(),"{(13.0, 270.0)}",set(),"{(11.0, 90.0)}"
20,1,4,"{(23.0, 0.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
21,1,5,"{(23.0, 0.0)}",set(),"{(7.0, 90.0), (13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
22,1,6,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
23,1,7,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
24,1,8,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(7.0, 90.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
25,1,9,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(7.0, 90.0), (13.0, 270.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
26,1,10,"{(23.0, 0.0), (2.0, 135.0)}",set(),"{(17.0, 135.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
27,1,11,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
28,1,12,"{(23.0, 0.0), (2.0, 135.0)}","{(8.0, 225.0)}","{(17.0, 135.0), (7.0, 45.0)}","{(23.0, 0.0)}","{(11.0, 90.0)}"
